date,EURRUR_CBR,MBK_MIACR_B_RUB_VOL_d1,MBK_MIACR_B_RUB_VOL_d180,MBK_MIACR_B_RUB_VOL_d30,MBK_MIACR_B_RUB_VOL_d360,MBK_MIACR_B_RUB_VOL_d7,MBK_MIACR_B_RUB_VOL_d90,MBK_MIACR_B_RUB_d1,MBK_MIACR_B_RUB_d180,MBK_MIACR_B_RUB_d30,MBK_MIACR_B_RUB_d360,MBK_MIACR_B_RUB_d7,MBK_MIACR_B_RUB_d90,MBK_MIACR_IG_RUB_IR_d1,MBK_MIACR_IG_RUB_IR_d180,MBK_MIACR_IG_RUB_IR_d30,MBK_MIACR_IG_RUB_IR_d360,MBK_MIACR_IG_RUB_IR_d7,MBK_MIACR_IG_RUB_IR_d90,MBK_MIACR_IG_RUB_VOL_d1,MBK_MIACR_IG_RUB_VOL_d180,MBK_MIACR_IG_RUB_VOL_d30,MBK_MIACR_IG_RUB_VOL_d360,MBK_MIACR_IG_RUB_VOL_d7,MBK_MIACR_IG_RUB_VOL_d90,MBK_MIACR_RUB_IR_d1,MBK_MIACR_RUB_IR_d180,MBK_MIACR_RUB_IR_d30,MBK_MIACR_RUB_IR_d360,MBK_MIACR_RUB_IR_d7,MBK_MIACR_RUB_IR_d90,MBK_MIACR_RUB_VOL_d1,MBK_MIACR_RUB_VOL_d180,MBK_MIACR_RUB_VOL_d30,MBK_MIACR_RUB_VOL_d360,MBK_MIACR_RUB_VOL_d7,MBK_MIACR_RUB_VOL_d90,MBK_MIACR_USD_IR_d1,MBK_MIACR_USD_IR_d180,MBK_MIACR_USD_IR_d30,MBK_MIACR_USD_IR_d360,MBK_MIACR_USD_IR_d7,MBK_MIACR_USD_IR_d90,MBK_MIACR_USD_VOL_d1,MBK_MIACR_USD_VOL_d180,MBK_MIACR_USD_VOL_d30,MBK_MIACR_USD_VOL_d360,MBK_MIACR_USD_VOL_d7,MBK_MIACR_USD_VOL_d90,MBK_MIBID_RUB_IR_d1,MBK_MIBID_RUB_IR_d180,MBK_MIBID_RUB_IR_d30,MBK_MIBID_RUB_IR_d360,MBK_MIBID_RUB_IR_d7,MBK_MIBID_RUB_IR_d90,MBK_MIBID_USD_IR_d1,MBK_MIBID_USD_IR_d180,MBK_MIBID_USD_IR_d30,MBK_MIBID_USD_IR_d360,MBK_MIBID_USD_IR_d7,MBK_MIBID_USD_IR_d90,MBK_MIBOR_RUB_IR_d1,MBK_MIBOR_RUB_IR_d180,MBK_MIBOR_RUB_IR_d30,MBK_MIBOR_RUB_IR_d360,MBK_MIBOR_RUB_IR_d7,MBK_MIBOR_RUB_IR_d90,MBK_MIBOR_USD_IR_d1,MBK_MIBOR_USD_IR_d180,MBK_MIBOR_USD_IR_d30,MBK_MIBOR_USD_IR_d360,MBK_MIBOR_USD_IR_d7,MBK_MIBOR_USD_IR_d90,USDRUR_CBR,ruonia_rate,ruonia_vol
2016-02-20,84.9187,13984.0,,,,,,10.8528,,,,,,10.7846,,,,,,171244.8,,,,,,10.9148,,,,,,255918.6846,,,,,,,,,,,,,,,,,,10.4964,11.2,10.71,11.27,10.6,11.0375,0.3903,1.0067,0.3415,1.2473,0.1614,0.753,11.3469,12.53,12.0542,12.72,11.5,12.3625,1.5523,2.25,0.9667,3.0333,0.5426,1.6857,76.3657,10.87,188.6
2016-02-21,85.8563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1326,,
2016-02-24,,13984.0,,,,,,11.0083,,,,,,10.8043,,,,,,220695.2,,,,,,10.8846,,11.3541,,11.5731,,350044.8213,,15325.6,,40744.0,,0.3827,,,,,,8204.38,,,,,,10.4893,11.2071,10.6823,11.3,10.7292,10.8389,0.2526,1.0715,0.3947,1.4075,0.3458,0.6756,11.3367,12.8786,12.0923,13.1286,11.6958,12.6111,0.682,2.117,1.05,2.76,0.8354,1.3136,,11.0,186.22
2016-02-25,84.0779,13980.0,,,,,,11.0,,,,,,10.9537,,,,,,199664.0,,,,,,11.0095,,11.2224,,11.25,,299804.6766,,1413.6,,13472.0,,0.3844,,,,,,8954.2265,,,,,,10.5867,10.95,10.5588,11.225,10.6955,10.8344,0.2857,0.9931,0.4552,1.3463,0.3428,0.6352,11.1235,12.4833,11.7438,12.8583,11.4909,12.2531,0.6437,1.8357,0.8275,2.6387,0.7481,1.289,76.3928,11.05,219.15
2016-02-26,84.2155,13984.0,,,,,,11.0029,,,,,,11.0127,,,,10.9485,,209748.8,,,,8040.0,,11.0146,,14.445,,10.951,12.75,323168.036,,504.4,,8687.2,12820.0,0.3858,,,,5.0,,8309.7162,,,,98.464,,10.5676,11.4167,10.6025,10.855,10.6467,11.0239,0.2602,1.0773,0.444,1.3275,0.3261,0.6322,11.2722,12.9222,11.8813,12.428,11.5406,12.413,0.7734,2.1352,0.78,3.086,0.7654,1.2611,76.3929,11.13,214.15
2016-02-27,82.9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0903,,
2016-02-29,,13580.0,,,,,,10.9,,,,,,10.6773,,11.2564,,,,106449.6,,65696.8,,,,10.818,,11.2764,,10.8179,,215928.0616,,70863.2,,913.6,,0.3873,,,,,,6541.401,,,,,,10.6625,11.025,10.828,11.5875,10.5,10.5,0.4873,1.1933,0.5879,1.885,0.5413,0.7215,11.34,12.425,11.8267,13.1688,11.2167,11.7833,1.1467,1.5167,1.0122,2.4797,1.15,1.0667,,10.93,117.74
2016-03-01,83.1023,13272.0,,,,,,11.0,,,,,,10.7857,,,,,,197180.0,,,,,,10.869,,11.4931,,11.2905,,313286.4517,,21321.6,,8301.6,,0.3996,,,,,,6587.6826,,,,,,10.4133,10.575,10.6933,11.1686,10.6082,10.755,0.2927,0.88,0.4114,0.9831,0.408,0.7051,11.05,11.2725,11.9,12.7114,11.4545,12.1758,0.601,0.894,0.8361,1.6771,0.74,1.1292,75.8994,10.93,221.76
2016-03-02,80.5333,13632.0,,,,,,10.9,,,,,,10.7089,,,,10.8668,,140240.8,,,,68400.0,,10.885,,10.4117,,10.8662,,262638.0914,,71.2,,68652.0,,0.3927,,,,,,6653.4984,,,,,,10.5,11.1357,10.862,11.2929,10.76,10.855,0.2724,1.2437,0.5066,1.7616,0.3385,0.904,11.2467,12.9143,12.39,13.2143,11.87,12.65,0.6463,2.2365,1.1256,3.0358,0.769,1.4502,74.0536,10.9,170.67
2016-03-03,79.9721,13984.0,,,,,,11.0,,,,,,10.8355,,,,,,153500.0,,,,,,10.9761,,,,11.2815,11.53,267081.204,,,,1968.0,640.0,0.3927,,,,,,7163.0006,,,,,,10.5765,11.1875,10.533,11.1893,10.7214,10.9875,0.2957,1.1174,0.4604,1.3849,0.3519,0.7463,11.2,12.5786,11.89,12.6458,11.6393,12.3083,0.6333,1.6975,0.8463,1.9731,0.7546,1.4164,73.6256,11.05,179.94
