id,value,name,date
1,11.07,ruonia_rate,2016-03-14
2,150.46,ruonia_vol,2016-03-14
3,11.1,ruonia_rate,2016-03-15
4,185.87,ruonia_vol,2016-03-15
5,10.89,ruonia_rate,2016-03-16
6,183.87,ruonia_vol,2016-03-16
7,10.91,ruonia_rate,2016-03-17
8,236.79,ruonia_vol,2016-03-17
9,70.1542,USDRUR_CBR,2016-03-15
10,70.5408,USDRUR_CBR,2016-03-16
11,71.0256,USDRUR_CBR,2016-03-17
12,68.5598,USDRUR_CBR,2016-03-18
13,68.4026,USDRUR_CBR,2016-03-19
14,78.1798,USDRUR_CBR,2016-03-15
15,78.3285,USDRUR_CBR,2016-03-16
16,78.7532,USDRUR_CBR,2016-03-17
17,77.1572,USDRUR_CBR,2016-03-18
18,77.1992,USDRUR_CBR,2016-03-19
19,10.6533,MBK_MIBID_RUB_IR_d1,2016-03-14
20,10.7958,MBK_MIBID_RUB_IR_d7,2016-03-14
21,10.7714,MBK_MIBID_RUB_IR_d30,2016-03-14
22,10.67,MBK_MIBID_RUB_IR_d90,2016-03-14
23,11.1714,MBK_MIBID_RUB_IR_d180,2016-03-14
24,11.5643,MBK_MIBID_RUB_IR_d360,2016-03-14
25,11.3063,MBK_MIBOR_RUB_IR_d1,2016-03-14
26,11.6083,MBK_MIBOR_RUB_IR_d7,2016-03-14
27,12.0357,MBK_MIBOR_RUB_IR_d30,2016-03-14
28,12.43,MBK_MIBOR_RUB_IR_d90,2016-03-14
29,12.5714,MBK_MIBOR_RUB_IR_d180,2016-03-14
30,13.0929,MBK_MIBOR_RUB_IR_d360,2016-03-14
31,10.9562,MBK_MIACR_RUB_IR_d1,2016-03-14
32,,MBK_MIACR_RUB_IR_d7,2016-03-14
33,10.5779,MBK_MIACR_RUB_IR_d30,2016-03-14
34,,MBK_MIACR_RUB_IR_d90,2016-03-14
35,,MBK_MIACR_RUB_IR_d180,2016-03-14
36,,MBK_MIACR_RUB_IR_d360,2016-03-14
37,10.7917,MBK_MIACR_IG_RUB_IR_d1,2016-03-14
38,,MBK_MIACR_IG_RUB_IR_d7,2016-03-14
39,,MBK_MIACR_IG_RUB_IR_d30,2016-03-14
40,,MBK_MIACR_IG_RUB_IR_d90,2016-03-14
41,,MBK_MIACR_IG_RUB_IR_d180,2016-03-14
42,,MBK_MIACR_IG_RUB_IR_d360,2016-03-14
43,247602.9512,MBK_MIACR_RUB_VOL_d1,2016-03-14
44,,MBK_MIACR_RUB_VOL_d7,2016-03-14
45,142.4,MBK_MIACR_RUB_VOL_d30,2016-03-14
46,,MBK_MIACR_RUB_VOL_d90,2016-03-14
47,,MBK_MIACR_RUB_VOL_d180,2016-03-14
48,,MBK_MIACR_RUB_VOL_d360,2016-03-14
49,129201.6,MBK_MIACR_IG_RUB_VOL_d1,2016-03-14
50,,MBK_MIACR_IG_RUB_VOL_d7,2016-03-14
51,,MBK_MIACR_IG_RUB_VOL_d30,2016-03-14
52,,MBK_MIACR_IG_RUB_VOL_d90,2016-03-14
53,,MBK_MIACR_IG_RUB_VOL_d180,2016-03-14
54,,MBK_MIACR_IG_RUB_VOL_d360,2016-03-14
55,11.0,MBK_MIACR_B_RUB_d1,2016-03-14
56,,MBK_MIACR_B_RUB_d7,2016-03-14
57,,MBK_MIACR_B_RUB_d30,2016-03-14
58,,MBK_MIACR_B_RUB_d90,2016-03-14
59,,MBK_MIACR_B_RUB_d180,2016-03-14
60,,MBK_MIACR_B_RUB_d360,2016-03-14
61,13188.0,MBK_MIACR_B_RUB_VOL_d1,2016-03-14
62,,MBK_MIACR_B_RUB_VOL_d7,2016-03-14
63,,MBK_MIACR_B_RUB_VOL_d30,2016-03-14
64,,MBK_MIACR_B_RUB_VOL_d90,2016-03-14
65,,MBK_MIACR_B_RUB_VOL_d180,2016-03-14
66,,MBK_MIACR_B_RUB_VOL_d360,2016-03-14
67,0.3375,MBK_MIBID_USD_IR_d1,2016-03-14
68,0.3887,MBK_MIBID_USD_IR_d7,2016-03-14
69,0.5414,MBK_MIBID_USD_IR_d30,2016-03-14
70,0.6901,MBK_MIBID_USD_IR_d90,2016-03-14
71,1.0268,MBK_MIBID_USD_IR_d180,2016-03-14
72,1.348,MBK_MIBID_USD_IR_d360,2016-03-14
73,0.8511,MBK_MIBOR_USD_IR_d1,2016-03-14
74,0.9322,MBK_MIBOR_USD_IR_d7,2016-03-14
75,1.1945,MBK_MIBOR_USD_IR_d30,2016-03-14
76,1.115,MBK_MIBOR_USD_IR_d90,2016-03-14
77,1.85,MBK_MIBOR_USD_IR_d180,2016-03-14
78,2.8475,MBK_MIBOR_USD_IR_d360,2016-03-14
79,0.3843,MBK_MIACR_USD_IR_d1,2016-03-14
80,,MBK_MIACR_USD_IR_d7,2016-03-14
81,,MBK_MIACR_USD_IR_d30,2016-03-14
82,,MBK_MIACR_USD_IR_d90,2016-03-14
83,,MBK_MIACR_USD_IR_d180,2016-03-14
84,,MBK_MIACR_USD_IR_d360,2016-03-14
85,9191.6076,MBK_MIACR_USD_VOL_d1,2016-03-14
86,,MBK_MIACR_USD_VOL_d7,2016-03-14
87,,MBK_MIACR_USD_VOL_d30,2016-03-14
88,,MBK_MIACR_USD_VOL_d90,2016-03-14
89,,MBK_MIACR_USD_VOL_d180,2016-03-14
90,,MBK_MIACR_USD_VOL_d360,2016-03-14
91,10.6219,MBK_MIBID_RUB_IR_d1,2016-03-15
92,10.8462,MBK_MIBID_RUB_IR_d7,2016-03-15
93,10.8813,MBK_MIBID_RUB_IR_d30,2016-03-15
94,10.3075,MBK_MIBID_RUB_IR_d90,2016-03-15
95,11.1,MBK_MIBID_RUB_IR_d180,2016-03-15
96,11.5423,MBK_MIBID_RUB_IR_d360,2016-03-15
97,11.4563,MBK_MIBOR_RUB_IR_d1,2016-03-15
98,11.8423,MBK_MIBOR_RUB_IR_d7,2016-03-15
99,12.39,MBK_MIBOR_RUB_IR_d30,2016-03-15
100,12.5125,MBK_MIBOR_RUB_IR_d90,2016-03-15
101,12.8357,MBK_MIBOR_RUB_IR_d180,2016-03-15
102,13.5154,MBK_MIBOR_RUB_IR_d360,2016-03-15
103,11.0758,MBK_MIACR_RUB_IR_d1,2016-03-15
104,11.1311,MBK_MIACR_RUB_IR_d7,2016-03-15
105,,MBK_MIACR_RUB_IR_d30,2016-03-15
106,,MBK_MIACR_RUB_IR_d90,2016-03-15
107,,MBK_MIACR_RUB_IR_d180,2016-03-15
108,,MBK_MIACR_RUB_IR_d360,2016-03-15
109,10.9334,MBK_MIACR_IG_RUB_IR_d1,2016-03-15
110,,MBK_MIACR_IG_RUB_IR_d7,2016-03-15
111,,MBK_MIACR_IG_RUB_IR_d30,2016-03-15
112,,MBK_MIACR_IG_RUB_IR_d90,2016-03-15
113,,MBK_MIACR_IG_RUB_IR_d180,2016-03-15
114,,MBK_MIACR_IG_RUB_IR_d360,2016-03-15
115,311485.6778,MBK_MIACR_RUB_VOL_d1,2016-03-15
116,6456.0,MBK_MIACR_RUB_VOL_d7,2016-03-15
117,,MBK_MIACR_RUB_VOL_d30,2016-03-15
118,,MBK_MIACR_RUB_VOL_d90,2016-03-15
119,,MBK_MIACR_RUB_VOL_d180,2016-03-15
120,,MBK_MIACR_RUB_VOL_d360,2016-03-15
121,181210.4,MBK_MIACR_IG_RUB_VOL_d1,2016-03-15
122,,MBK_MIACR_IG_RUB_VOL_d7,2016-03-15
123,,MBK_MIACR_IG_RUB_VOL_d30,2016-03-15
124,,MBK_MIACR_IG_RUB_VOL_d90,2016-03-15
125,,MBK_MIACR_IG_RUB_VOL_d180,2016-03-15
126,,MBK_MIACR_IG_RUB_VOL_d360,2016-03-15
127,11.0,MBK_MIACR_B_RUB_d1,2016-03-15
128,,MBK_MIACR_B_RUB_d7,2016-03-15
129,,MBK_MIACR_B_RUB_d30,2016-03-15
130,,MBK_MIACR_B_RUB_d90,2016-03-15
131,,MBK_MIACR_B_RUB_d180,2016-03-15
132,,MBK_MIACR_B_RUB_d360,2016-03-15
133,12984.0,MBK_MIACR_B_RUB_VOL_d1,2016-03-15
134,,MBK_MIACR_B_RUB_VOL_d7,2016-03-15
135,,MBK_MIACR_B_RUB_VOL_d30,2016-03-15
136,,MBK_MIACR_B_RUB_VOL_d90,2016-03-15
137,,MBK_MIACR_B_RUB_VOL_d180,2016-03-15
138,,MBK_MIACR_B_RUB_VOL_d360,2016-03-15
139,0.3331,MBK_MIBID_USD_IR_d1,2016-03-15
140,0.411,MBK_MIBID_USD_IR_d7,2016-03-15
141,0.6349,MBK_MIBID_USD_IR_d30,2016-03-15
142,0.8139,MBK_MIBID_USD_IR_d90,2016-03-15
143,1.2481,MBK_MIBID_USD_IR_d180,2016-03-15
