date,d1,d180,d30,d360,d7,d90,date,p1
2016-03-14 00:00:00+03:00,10.6533,11.1714,10.7714,11.5643,10.7958,10.67,2016-03-14 00:00:00+03:00,1.0
2016-03-14 00:00:00+03:00,11.3063,12.5714,12.0357,13.0929,11.6083,12.43,2016-03-14 00:00:00+03:00,2.0
2016-03-14 00:00:00+03:00,10.9562,,10.5779,,,,2016-03-14 00:00:00+03:00,3.0
2016-03-14 00:00:00+03:00,10.7917,,,,,,2016-03-14 00:00:00+03:00,4.0
2016-03-14 00:00:00+03:00,247602.9512,,142.4,,,,2016-03-14 00:00:00+03:00,5.0
2016-03-14 00:00:00+03:00,129201.6,,,,,,2016-03-14 00:00:00+03:00,6.0
2016-03-14 00:00:00+03:00,11.0,,,,,,2016-03-14 00:00:00+03:00,7.0
2016-03-14 00:00:00+03:00,13188.0,,,,,,2016-03-14 00:00:00+03:00,8.0
2016-03-14 00:00:00+03:00,0.3375,1.0268,0.5414,1.348,0.3887,0.6901,2016-03-14 00:00:00+03:00,9.0
2016-03-14 00:00:00+03:00,0.8511,1.85,1.1945,2.8475,0.9322,1.115,2016-03-14 00:00:00+03:00,10.0
2016-03-14 00:00:00+03:00,0.3843,,,,,,2016-03-14 00:00:00+03:00,11.0
2016-03-14 00:00:00+03:00,9191.6076,,,,,,2016-03-14 00:00:00+03:00,13.0
2016-03-15 00:00:00+03:00,10.6219,11.1,10.8813,11.5423,10.8462,10.3075,2016-03-15 00:00:00+03:00,1.0
2016-03-15 00:00:00+03:00,11.4563,12.8357,12.39,13.5154,11.8423,12.5125,2016-03-15 00:00:00+03:00,2.0
2016-03-15 00:00:00+03:00,11.0758,,,,11.1311,,2016-03-15 00:00:00+03:00,3.0
2016-03-15 00:00:00+03:00,10.9334,,,,,,2016-03-15 00:00:00+03:00,4.0
2016-03-15 00:00:00+03:00,311485.6778,,,,6456.0,,2016-03-15 00:00:00+03:00,5.0
2016-03-15 00:00:00+03:00,181210.4,,,,,,2016-03-15 00:00:00+03:00,6.0
2016-03-15 00:00:00+03:00,11.0,,,,,,2016-03-15 00:00:00+03:00,7.0
2016-03-15 00:00:00+03:00,12984.0,,,,,,2016-03-15 00:00:00+03:00,8.0
2016-03-15 00:00:00+03:00,0.3331,1.2481,0.6349,1.6791,0.411,0.8139,2016-03-15 00:00:00+03:00,9.0
2016-03-15 00:00:00+03:00,0.841,2.2128,1.4233,3.509,0.9824,1.1707,2016-03-15 00:00:00+03:00,10.0
2016-03-15 00:00:00+03:00,0.3847,,,,,,2016-03-15 00:00:00+03:00,11.0
2016-03-15 00:00:00+03:00,9220.6041,,,,,,2016-03-15 00:00:00+03:00,13.0
